Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
37/27-0119-LPR25,ADQUISICIÓN DE SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS.,Licitación Privada,07/11/2025 10:00 Hrs.,Publicado,1156
74/14-0322-LPR25,Adquisición de telemetros ,Licitación Privada,11/11/2025 14:00 Hrs.,Publicado,1099
436-0002-CDI25,Adquisición de artículos de librería para la JUNTA DE SEGURIDAD EN EL TRANSPORTE,Contratación Directa,03/11/2025 11:00 Hrs.,Publicado,795
37/31-0127-LPR25,ADQUISICIÓN DE REPUESTOS PARA VEHÍCULOS,Licitación Privada,31/10/2025 11:00 Hrs.,Publicado,1160
52-0033-LPU25,Contratacion del servicio de mantenimiento del sistema integrado de vigilancia y monitoreo de plagas,Licitación Pública,07/11/2025 12:00 Hrs.,Publicado,719
38/12-0254-LPU25,SERVICIO DE RECUPERACION DEL SIST. DE CONTROL DE LAS CENTRALES HIDRÁULICAS DEL LGPA,Licitación Pública,19/11/2025 09:00 Hrs.,Publicado,951
14/2-0067-LPR25,ADQUISICIÓN DE EQUIPOS DE LABORATORIO,Licitación Privada,14/11/2025 11:30 Hrs.,Publicado,967
38/12-0989-LPR25,ADQUISICION DE COMPRESOR PORTATIL PARA RECUPERACIÓN DE CAPACIDAD DE CARGA DE BOTELLONES DEL AVES,Licitación Privada,07/11/2025 09:00 Hrs.,Publicado,951
37/123-0711-CDI25,ADQUISICION DEL SERVICIO DE RECARGA Y MANTENIMIENTO DE MATAFUEGOS/EXTINTORES,Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,1965
38/3-0264-LPU25,SERVICIO DE REEMPLAZO INTEGRAL DE CUBIERTAS DE TECHO DEL CINE COMODORO RIVADAVIA (BNPB),Licitación Pública,12/11/2025 10:00 Hrs.,Publicado,995
487-0073-LPU25,"Adquisición de Insumos Específicos para  Química, Hematología y Proteínas",Licitación Pública,12/11/2025 10:00 Hrs.,Publicado,1345
40/11-0544-CDI25,Adquisición de Brevet y Distintivos,Contratación Directa,07/11/2025 10:00 Hrs.,Publicado,1120
16-0001-LPU25,ADQUISICIÓN DE VEHÍCULO 4X4 PARA INTERVENCIONES EN EMERGENCIAS DE DIFÍCIL ACCESO,Licitación Pública,04/11/2025 14:00 Hrs.,Publicado,676
49-0002-LPU25,CONTRATACIÓN SERVICIO VIGILANCIA SEDE CENTRAL Y DELEGACIÓN MENDOZA DEL INV,Licitación Pública,31/10/2025 12:00 Hrs.,Publicado,1048
392-0011-LPR25,Sev.soporte téc. y mant. sistema de alarma c/incendio del Centro de Procesamiento de datos de AABE,Licitación Privada,31/10/2025 12:00 Hrs.,Publicado,594
487-0011-CDI25,ADQUISICION DE TELEVISORES PARA SER UTILIZADOS EN LAS HABITACIONES DE INTERNACION,Contratación Directa,17/11/2025 10:00 Hrs.,Publicado,1345
84/5-1299-LPR25,"ADQUISICIÓN DE ELEMENTOS DE FERRETERIA, MATERIALES DE CONTRUCCIÓN",Licitación Privada,31/10/2025 08:00 Hrs.,Publicado,1001
368-0003-LPR25,Suscripción a licencias Veeam Data Platform Foundation,Licitación Privada,10/11/2025 12:00 Hrs.,Publicado,692
63-0062-LPU25,"Provisión, administración y carga de Combustibles y Lubricantes para flota de vehículos de ANSES",Licitación Pública,07/11/2025 11:00 Hrs.,Publicado,1255
40/14-0137-LPU25,ADQUISICION DE ELEMENTOS DESCARTABLES,Licitación Pública,05/11/2025 09:00 Hrs.,Publicado,844
40/14-0484-LPR25,ADQUISICIÓN DE BEBIDAS (CG),Licitación Privada,03/11/2025 09:00 Hrs.,Publicado,844
34-0017-LPR25,Servicio de laboratorio para análisis microbiológico y fisicoquímico de alimentos y superficies,Licitación Privada,07/11/2025 10:00 Hrs.,Publicado,596
26-0004-LPR25,Equipamiento monitoreo de aves y mamíferos.,Licitación Privada,07/11/2025 12:00 Hrs.,Publicado,644
52-0040-LPU25,Contratación de UN (1) servicio de mantenimiento del sistema de trazabilidad apícola (SITA),Licitación Pública,03/11/2025 12:00 Hrs.,Publicado,719
38/12-0304-LPU25,"ADQUISICION DE RADAR DE NAVEGACION PARA EL BUQUE LOGISTICO A.R.A ""PATAGONIA"" - CAV 2025/26.",Licitación Pública,05/11/2025 09:00 Hrs.,Publicado,951
101-0014-CDI25,Adquisicipon de Certificado Wildcare,Contratación Directa,05/11/2025 09:00 Hrs.,Publicado,917
503-0008-LPU25,Servicio para la provisión de herramientas de comunicación directa y seguimiento.,Licitación Pública,11/11/2025 12:00 Hrs.,Publicado,1779
40/39-0494-LPR25,Adquisición de insumos para el servicio de nefrología y hemodiálisis,Licitación Privada,31/10/2025 10:00 Hrs.,Publicado,877
38/12-1153-LPR25,ADQUSICIÓN DE SILLAS Y SILLONES PARA LAS UUDD DE LA DIVISIÓN DE DESTRUCTORES (DEAB Y DESI),Licitación Privada,31/10/2025 09:00 Hrs.,Publicado,951
38/12-0313-LPU25,"RECUPERACIÓN, INSTALACIÓN Y ACTUALIZACIÓN DE SISTEMAS DE CONTROL DE GENERADORES PARA EL LGPA",Licitación Pública,06/11/2025 09:00 Hrs.,Publicado,951
74-0400-LPR25,Cobertura Seguro de Responsabilidad Civil Comprensiva Áreas Protegidas,Licitación Privada,03/11/2025 11:00 Hrs.,Publicado,911
487-0083-LPU25,"Adquisición, acarreo y puesta en funcionamiento de UN (01) SISTEMA AUTOMATIZADO DE DISPENSACIÓN PAR",Licitación Pública,05/11/2025 10:00 Hrs.,Publicado,1345
37/32-0804-CDI25,ADQUISICION DE ALIMENTOS PARA PERSONAS,Contratación Directa,10/11/2025 10:00 Hrs.,Publicado,1161
34-0019-LPR25,"Provisión y colocación de neumáticos, escobillas y baterías, con alineación y balanceo de neumáticos",Licitación Privada,05/11/2025 10:00 Hrs.,Publicado,596
40/39-0641-CDI25,Adquisicion de Mantenimiento de Autoclaves,Contratación Directa,10/11/2025 10:00 Hrs.,Publicado,877
487-0022-LPR25,"Adquisición, acarreo y puesta en funcionamiento de distintos equipos",Licitación Privada,11/11/2025 10:00 Hrs.,Publicado,1345
21-0030-LPR25,SERVICIO DE LIMPIEZA DELEGACIÓN VILLA GESELL,Licitación Privada,11/11/2025 12:00 Hrs.,Publicado,698
14/3-0264-CDI25,INSUMOS DE LIBRERÍA PARA OFICINAS,Contratación Directa,18/11/2025 11:00 Hrs.,Publicado,948
487-0086-LPU25,"Adquisición, acarreo y puesta en funcionamiento de EQUIPAMIENTO ELECTROMÉDICO.",Licitación Pública,07/11/2025 10:00 Hrs.,Publicado,1345
487-0023-LPR25,Adquisición  de elementos para el Servicio MEDICINA NUCLEAR,Licitación Privada,14/11/2025 10:00 Hrs.,Publicado,1345
80-0027-LPU25,Adquisicion de Antiparasitarios,Licitación Pública,13/11/2025 11:00 Hrs.,Publicado,658
14/2-0274-CDI25,EQUIPAMIENTO DE EFICIENCIA ENERGÉTICA Y LUMINARIAS,Contratación Directa,17/11/2025 10:30 Hrs.,Publicado,967
487-0087-LPU25,"Adquisición de Guantes, Barbijos y Botas",Licitación Pública,03/11/2025 10:00 Hrs.,Publicado,1345
300-0009-LPR25,Servicio de mantenimiento preventivo y correctivo para SIETE (7) equipos de UPS.,Licitación Privada,12/11/2025 10:00 Hrs.,Publicado,587
14/3-0276-CDI25,ADQUISICION DE MOBILIARIO,Contratación Directa,17/11/2025 10:30 Hrs.,Publicado,948
37/17-0827-CDI25,ADQUISICION DE ALIMENTO PARA CANES,Contratación Directa,12/11/2025 12:00 Hrs.,Publicado,1146
37/5-0830-CDI25,ADQUISICIÓN DE INSUMOS MÉDICOS/ ENFERMERÍA/ KINESIOLOGIA/ RADIOLOGIA,Contratación Directa,04/11/2025 10:00 Hrs.,Publicado,1135
38/19-1253-LPR25,SERVICIO DE LIMPIEZA - ESNN,Licitación Privada,13/11/2025 07:00 Hrs.,Publicado,1088
80-0044-CDI25,Servicio de Reacondicionamiento y mantenimiento del Sistema de refrigeración para Data Center,Contratación Directa,07/11/2025 13:00 Hrs.,Publicado,658
38/12-1260-LPR25,SERVICIO DE CAMBIO DE ZAFAS Y BATERIAS PARA RADIOBALIZAS PARA UNIDADES DEPENDIENTES COFM,Licitación Privada,06/11/2025 09:00 Hrs.,Publicado,951
23-0006-LPR25,Adquisición de vajilla para Casa de Gobierno y la Residencia Presidencial de Olivos,Licitación Privada,18/11/2025 12:00 Hrs.,Publicado,589
40/39-0511-LPR25,Adquisición de Víveres Frescos para el HAC/IGE,Licitación Privada,10/11/2025 10:00 Hrs.,Publicado,877
487-0088-LPU25,ADQUISICION DE INSUMOS IMPLANTABLES PARA ANGIOPLASTIAS PERIFERICAS Y ESTRUCTURAL,Licitación Pública,27/11/2025 10:00 Hrs.,Publicado,1345
63-0071-LPU25,Servicio de soporte y mantenimiento para Dispositivos Criptográficos.,Licitación Pública,07/11/2025 11:00 Hrs.,Publicado,1255
76-0004-LPR25,Adquisición de hardware propósito específico compuesto de DOS (2) equipos Check Point Quantum 3920,Licitación Privada,12/11/2025 12:00 Hrs.,Publicado,620
504-0011-LPU25,"Servicio de vigilancia, custodia y control de accesos para Av España N° 2221 - segundo llamado.",Licitación Pública,04/11/2025 12:00 Hrs.,Publicado,1947
74/34-0023-LPU25,Adquisición de Repuestos para Motobombas,Licitación Pública,03/11/2025 07:00 Hrs.,Publicado,956
487-0089-LPU25,ADQUISICION DE MARCAPASOS E INSUMOS PARA MARCAPASOS,Licitación Pública,02/12/2025 10:00 Hrs.,Publicado,1345
84/29-1486-LPR25,ADQUISICIÓN DE REPUESTOS PARA VEHÍCULOS AUTOMOTORES.,Licitación Privada,07/11/2025 08:00 Hrs.,Publicado,1027
84/29-1487-LPR25,ADQUISICIÓN DE ELEMENTOS DE CEREMONIAL Y PROTOCOLO.,Licitación Privada,06/11/2025 08:00 Hrs.,Publicado,1027
84/29-1489-LPR25,MONTAJE E INSTALACIÓN DE SALA DE LABORATORIO DE INFORMÁTICA.,Licitación Privada,07/11/2025 08:00 Hrs.,Publicado,1027
28-0005-CDI25,Servicio de calibración de equipos de medición del Laboratorio de Control Doping para la SSD,Contratación Directa,04/11/2025 15:00 Hrs.,Publicado,749
52-0045-LPU25,Contratación del Seguro de Caución Ambiental para los Laboratorios del SENASA por DOCE (12) meses,Licitación Pública,12/11/2025 13:00 Hrs.,Publicado,719
83-0004-LPU25,Servicio de traslado para el personal del Palacio San José,Licitación Pública,03/11/2025 13:00 Hrs.,Publicado,640
40/43-0678-CDI25,ADQUISICION DE REPUESTOS Y ACCESORIOS BANDA DE MUSICA Y GUERRA,Contratación Directa,06/11/2025 08:00 Hrs.,Publicado,881
37/69-0845-CDI25,ADQUISICION DE SERVICIO DE MANTENIMIENTO Y RECARGA DE MATAFUEGOS,Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,1197
28-0007-CDI25,"SERVICIO DE RECOLECCION, TRANSPORTE, TRATAMIENTO Y DIPOSICION FINAL DE RESIDUOS PATOGENICOS SSD",Contratación Directa,04/11/2025 15:00 Hrs.,Publicado,749
14/2-0084-LPR25,REACONDICIONAMIENTO DE LA PLAYA DE ESTACIONAMIENTO DE MICROS DEL CENTRO ATOMICO EZEIZA,Licitación Privada,19/11/2025 09:00 Hrs.,Publicado,967
37/73-0851-CDI25,ADQUISICIÓN DEL SERVICIO DE MANTENIMIENTO Y REPARACIÓN DEL VEHÍCULO FORD FOCUS NIGN 39100,Contratación Directa,14/11/2025 10:00 Hrs.,Publicado,1200
23-0008-LPR25,Adquisición de artículos de blanquería para las Residencias de Olivos y Chapadmalal,Licitación Privada,14/11/2025 12:00 Hrs.,Publicado,589
52-0047-LPU25,"Servicio de fumigacion, desinfeccion, desinsectacion y desratizacion para Buenos Aires Sur",Licitación Pública,12/11/2025 12:00 Hrs.,Publicado,719
487-0090-LPU25,Adquisición de  Medicamentos de alto costo y nutriciones para la División Farmacia.,Licitación Pública,19/11/2025 10:00 Hrs.,Publicado,1345
81-0012-CDI25,Adquisición y Renovación de Licencias Microsoft 365,Contratación Directa,31/10/2025 12:00 Hrs.,Publicado,634
68-0028-LPR25,"ADQUISICIÓN DE DROGAS Y QUIMICOS - INP ""DR. MARIO FATALA CHABEN""",Licitación Privada,31/10/2025 12:00 Hrs.,Publicado,963
38-1306-LPR25,ADQUISICIÓN DE ELEMENTOS DE LIBRERÍA,Licitación Privada,05/11/2025 09:00 Hrs.,Publicado,952
38-1307-LPR25,ADQUISICIÓN DE REPUESTOS Y ACCESORIOS INFORMÁTICOS,Licitación Privada,11/11/2025 09:00 Hrs.,Publicado,952
36-0003-LPR25,Servicio de Medicina Laboral,Licitación Privada,04/11/2025 10:00 Hrs.,Publicado,711
52-0048-LPU25,Contratación del Servicio de Limpieza en la DGLYCT del SENASA por el término de DOCE (12) meses,Licitación Pública,14/11/2025 13:00 Hrs.,Publicado,719
34-0020-LPR25,Servicio de mantenimiento para los sistemas de detección temprana de incendios y de audio-evacuación,Licitación Privada,07/11/2025 12:00 Hrs.,Publicado,596
37/110-0169-LPR25,"ADQUISICION DE MATERIALES DE CONSTRUCCION, ELECTRICIDAD, SANITARIOS Y PLOMERIA",Licitación Privada,04/11/2025 10:00 Hrs.,Publicado,1230
40/1-0155-LPU25,"SERV DE ACOND, INSUMOS, CONDUCCIÓN Y COSECHA PARA LA PRODDE CULTIVOS POR GRANO COSECHADO ""TANDIL"".",Licitación Pública,03/11/2025 10:00 Hrs.,Publicado,809
97-0005-LPU25,"MANTENIMIENTO DE AIRES ACONDICIONADOS ,SPLITS Y CENTRALES POR SEIS (6) MESES CON OPCIÓN A PRÓRROGA",Licitación Pública,31/10/2025 10:00 Hrs.,Publicado,1312
37/33-0865-CDI25,ADQUISICIÓN DE NEUMÁTICOS PARA EL PARQUE AUTOMOTOR,Contratación Directa,05/11/2025 10:00 Hrs.,Publicado,1162
37/38-0866-CDI25,SERVICIO DE MANTENIMIENTO Y RECARGA DE MATAFUEGOS,Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,1167
38/18-1328-LPR25,"ADQUISICIÓN DE FERRETERIA ELÉCTRICA PARA EL BUQUE ROMPEHIELOS A.R.A ""ALMIRANTE IRIZAR"".",Licitación Privada,31/10/2025 10:00 Hrs.,Publicado,1055
84/7-0909-LPU25,CONTRATAR EL SERVICIO DE CAPACITACIÓN - MOTORES RR250-C47E/4 – B AB MANT AERON 601,Licitación Pública,18/11/2025 09:00 Hrs.,Publicado,941
40/43-0698-CDI25,ADQUISICION DE LUMINARIAS LED PARA CALLES DEL INSTITUTO,Contratación Directa,07/11/2025 08:00 Hrs.,Publicado,881
37/93-0870-CDI25,ADQUISICION DE ALIMENTOS PÁRA RACIONAMIENTOS DE DETENIDOS CIVILES ALOJADOS EN LA UNIDAD,Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,1216
74-0024-LPU25,Adquisición de indumentaria y calzado reglamentarios,Licitación Pública,04/11/2025 10:00 Hrs.,Publicado,911
14-0287-CDI25,SERVICIO DE LIMPIEZA - REGIONAL NOROESTE,Contratación Directa,11/11/2025 09:00 Hrs.,Publicado,934
74-0448-LPR25,Adquisición de equipos informáticos para tareas del personal técnico,Licitación Privada,17/11/2025 10:00 Hrs.,Publicado,911
38/12-1339-LPR25,Adquisición para Recuperar la Capacidad de Atención Odontológica del LGPA,Licitación Privada,06/11/2025 09:00 Hrs.,Publicado,951
40/43-0530-LPR25,ADQUISICIÓN DE PRODUCTOS Y ÚTILES DE LIMPIEZA,Licitación Privada,31/10/2025 09:30 Hrs.,Publicado,881
40/18-0532-LPR25,ADQUISICION FERRETERIA Y HERRAMIENTAS MENORES,Licitación Privada,05/11/2025 09:00 Hrs.,Publicado,849
96-0059-LPU25,SERVICIO DE TRANSPORTE INTERNO DE RESIDUOS PATOGÉNICOS,Licitación Pública,31/10/2025 13:00 Hrs.,Publicado,715
38/12-1343-LPR25,RECUPERACION DE BOMBA DE SEGURO TIPO GUINARD VIS TYPE SNH 2200-46 PARA EL BUQUE LOGISTICO A.R.A,Licitación Privada,04/11/2025 08:00 Hrs.,Publicado,951
37/29-0876-CDI25,SERVICIO DE ALQUILER DE IMPRESORAS / FOTOCOPIADORAS,Contratación Directa,05/11/2025 10:00 Hrs.,Publicado,1158
91-0002-LPU25,"SERVICIO DE VIGILANCIA Y SEGURIDAD PARA SEDE DE AV. RIVADAVIA, ANEXOS Y EL MUSEO DE CS. NATURALES",Licitación Pública,18/11/2025 10:00 Hrs.,Publicado,1052
487-0026-LPR25,Adquisición de insumos de librería para el Complejo Médico “CHURRUCA-VISCA”.,Licitación Privada,18/11/2025 10:00 Hrs.,Publicado,1345
37/17-0879-CDI25,"""ADQUISICION SERVICIO DE MANTENIMIENTO Y RECARGA DE MATAFUEGOS""",Contratación Directa,04/11/2025 10:00 Hrs.,Publicado,1146
30-0033-LPR25,Adquisición de medicamentos e insumos veterinarios,Licitación Privada,13/11/2025 10:30 Hrs.,Publicado,1264
64-0012-LPU25,"Renovación de licencias Jira, con su Servicio de Soporte Técnico y Mantenimiento por doce meses.",Licitación Pública,31/10/2025 11:00 Hrs.,Publicado,781
84/34-1582-LPR25,ADQUISICION DE GALAPAGOS Y PENACHOS - 4TO TRIM 25 - CREDITO EXTRA PRESUPUESTARIO,Licitación Privada,04/11/2025 08:30 Hrs.,Publicado,1032
84/34-1585-LPR25,ADQ DE ROPA DE TRABAJO Y SEGURIDAD P/JINETES DEL RGC - 4TO TRIM 25 - CREDITO EXTRA PRESUPUESTARIO,Licitación Privada,04/11/2025 08:00 Hrs.,Publicado,1032
84/34-1586-LPR25,ADQUISICION DE PINTURAS Y MAT ELECTRICO PARA EL RGC – 4TO TRIM 2025 (CREDITO EX-TRAPRESUPUESTARIO),Licitación Privada,03/11/2025 08:00 Hrs.,Publicado,1032
66-0037-CDI25,Servicios Integrales de Seguro de Todo Riesgo Operativo y Responsabilidad Civil para los edificios,Contratación Directa,10/11/2025 12:00 Hrs.,Publicado,1281
63-0076-LPU25,"Suministro y Distribución de Bidones de agua para Jefatura Regional Sur I, Sur II y Of. Dependientes",Licitación Pública,05/11/2025 11:00 Hrs.,Publicado,1255
23-0012-LPU25,Servicio de alquiler de módulos de vallas metálicas,Licitación Pública,14/11/2025 12:00 Hrs.,Publicado,589
38/18-1366-LPR25,"ADQUISICION DE SELLOS MECANICOS PARA EL ROMPEHIELOS A.R.A. ""ALMIRANTE IRIZAR""",Licitación Privada,10/11/2025 10:00 Hrs.,Publicado,1055
487-0094-LPU25,Servicio de limpieza integral.,Licitación Pública,06/11/2025 10:00 Hrs.,Publicado,1345
74-0473-LPR25,Cobertura Seguro de Transporte (Mudanza),Licitación Privada,11/11/2025 12:00 Hrs.,Publicado,911
23-0009-LPR25,Adquisición de materiales de pintura destinados a las dependencias de la SGP.,Licitación Privada,17/11/2025 12:00 Hrs.,Publicado,589
34-0019-LPU25,Servicio de mantenimiento correctivo integral de servidores Oracle EXADATA X7-2,Licitación Pública,06/11/2025 10:00 Hrs.,Publicado,596
63-0077-LPU25,Servicio de Internet Satelital de Baja Latencia,Licitación Pública,17/11/2025 11:00 Hrs.,Publicado,1255
14-0088-LPR25,ACTUALIZACION DE LICENCIAS FIREWALLS,Licitación Privada,17/11/2025 10:00 Hrs.,Publicado,934
40/51-0541-LPR25,Adquisición de frutas y verduras Hospital Aeronáutico Córdoba,Licitación Privada,06/11/2025 10:00 Hrs.,Publicado,982
14/2-0292-CDI25,ADQUISICIÓN DE INSUMOS PARA USO ASISTENCIAL,Contratación Directa,14/11/2025 10:30 Hrs.,Publicado,967
68-0029-LPR25,Adquisición de insumos para equipo de ARRAYS-CNGM,Licitación Privada,31/10/2025 11:00 Hrs.,Publicado,963
21-0035-LPR25,SERVICIO DE LIMPIEZA OFICINA MIGRATORIA CATAMARCA,Licitación Privada,06/11/2025 12:00 Hrs.,Publicado,698
21-0036-LPR25,SERVICIO DE LIMPIEZA DELEGACION MAR DEL PLATA,Licitación Privada,03/11/2025 12:00 Hrs.,Publicado,698
21-0037-LPR25,SERVICIO DE LIMPIEZA DELEGACION LA PAMPA,Licitación Privada,10/11/2025 12:00 Hrs.,Publicado,698
21-0032-LPU25,"SERVICIOS DE GUARDA, CUSTODIA, ADMINISTRACIÓN, SISTEMATIZACIÓN Y DE CORRESPONDER MUDANZA DE ARCHIVOS",Licitación Pública,10/11/2025 12:00 Hrs.,Publicado,698
38/3-1379-LPR25,ADQUISICIÓN DE REPUESTOS PARA IMPRESORAS PARA LA BASE NAVAL PUERTO BELGRANO,Licitación Privada,11/11/2025 08:00 Hrs.,Publicado,995
23-0010-LPR25,Adquisición de repuestos para el sistema de impedimento de acceso vehicular para C. Rosada y R.P.O. ,Licitación Privada,18/11/2025 13:00 Hrs.,Publicado,589
46/12-0398-CDI25,ADQUISICIÓN DE ELEMENTOS DE LIBRERÍA,Contratación Directa,12/11/2025 13:00 Hrs.,Publicado,765
37/19-0889-CDI25,ADQUISICIÓN DE BIDONES DE AGUA POR 20 LITROS CON PROVISIÓN EN COMODATO DE DISPENSERS FRIO/CALOR,Contratación Directa,03/11/2025 09:00 Hrs.,Publicado,1148
16-0026-LPR25,ADQUISICIÓN DE EQUIPOS DE FOTOGRAFÍA,Licitación Privada,07/11/2025 10:00 Hrs.,Publicado,676
74-0487-LPR25,Impresión de láminas educativas,Licitación Privada,13/11/2025 10:00 Hrs.,Publicado,911
45-0003-LPU25,Contratación de un servicio integral de limpieza con provisión de insumo.,Licitación Pública,11/11/2025 15:00 Hrs.,Publicado,727
40/39-0543-LPR25,"""Adquisición de insumos para nutrición parenteral H.A.C""",Licitación Privada,11/11/2025 10:00 Hrs.,Publicado,877
79-0002-LPU25,"Servicio de mantenimiento integral, correctivo con asistencia tecnica para los ascensores de JGM",Licitación Pública,01/12/2025 10:00 Hrs.,Publicado,592
38/3-1385-LPR25,"ADQUISICIÓN DE INSUMOS, REPUESTOS Y ACCESORIOS INFORMÁTICOS (BNPB)",Licitación Privada,12/11/2025 11:00 Hrs.,Publicado,995
38/3-0376-LPU25,ADQUISICION CAMION RECOLECTOR/COMPACTADOR RESIDUOS SOLIDOS  (BNPB),Licitación Pública,11/11/2025 10:00 Hrs.,Publicado,995
41-0002-LPU25,Servicio de limpieza de edificios,Licitación Pública,04/11/2025 06:00 Hrs.,Publicado,725
37/86-0895-CDI25,ADQUISICION DE CONOS SEÑALIZADORES,Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,1209
40/18-0545-LPR25,ADQUISICION DE MATERIALES ELECTRICOS,Licitación Privada,04/11/2025 09:30 Hrs.,Publicado,849
40/39-0742-CDI25,“Adquisición de Precursores Químicos para el HAC”,Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,877
37/19-0896-CDI25,ADQUISICIÓN DE ALIMENTOS PARA CANES,Contratación Directa,10/11/2025 10:00 Hrs.,Publicado,1148
95-0010-CDI25,ADQUISICION DE ELEMENTOS DE SEGURIDAD Y EQUIPOS DE MEDICIÓN PARA LAS DISTINTAS SEDES  DE LA SENNAYF,Contratación Directa,31/10/2025 12:00 Hrs.,Publicado,632
46/18-0059-LPR25,ADQUISICION DE FILTROS PARA UNIDADES Y EQUIPOS VARIOS,Licitación Privada,07/11/2025 09:00 Hrs.,Publicado,771
436-0005-CDI25,Adquisición y servicio de recarga y mantenimiento de matafuegos para la JST.,Contratación Directa,05/11/2025 15:00 Hrs.,Publicado,1968
80-0005-LPR25,Adquisición de Clorhidrato de Labetalol,Licitación Privada,11/11/2025 11:00 Hrs.,Publicado,658
37/95-0897-CDI25,ADQUISICIÓN DE ELEMENTOS DE EDUCACIÓN FÍSICA,Contratación Directa,28/11/2025 10:00 Hrs.,Publicado,1218
73-0008-LPR25,"ADQUISICIÓN DE INDUMENTARIA INSTITUCIONAL, PARA EPOCA ESTIVAL",Licitación Privada,31/10/2025 13:00 Hrs.,Publicado,713
494-0009-CDI25,Servicio segundo mantenimiento de Acreditación - OAA,Contratación Directa,05/11/2025 12:00 Hrs.,Publicado,1431
65-0018-CDI25,Reparación de Cubierta – Edificio N.º 10 – Clínica Médica,Contratación Directa,07/11/2025 10:00 Hrs.,Publicado,936
97-0006-LPU25,REFUNCIONALIZACION EN PABELLÓN 4 PARA FORMULACIONES ESTÉRILES PELIGROSAS,Licitación Pública,31/10/2025 10:00 Hrs.,Publicado,1312
14/1-0039-LPU25,SERVICIO DE MANTENIMIENTO DE PARQUES Y JARDINES - CAC,Licitación Pública,14/11/2025 09:00 Hrs.,Publicado,965
79-0003-LPU25,CONTRATACIÓN DE UN SERVICIO MANEJO INTEGRAL DE PLAGAS Y LIMPIEZA DE TANQUES DE AGUA POTABLE JGM,Licitación Pública,01/12/2025 10:00 Hrs.,Publicado,592
38/4-1403-LPR25,SERVICIO PRUEBA HIDRÁULICA DE CILINDROS INDIVIDUALES Y CUADROS / BATERÍAS DE LA ESCUELA DE BUCEO,Licitación Privada,10/11/2025 09:00 Hrs.,Publicado,1089
97-0049-LPR25,COMPRA DE MATERIALES DE ALBAÑILERIA Y PINTURERIA,Licitación Privada,10/11/2025 10:00 Hrs.,Publicado,1312
101-0007-LPR25,Adquisición de 23 AP Fortinet,Licitación Privada,06/11/2025 09:00 Hrs.,Publicado,917
33-0054-LPR25,Servicio de limpieza integral con destino a la Agencia Territorial Bahía Blanca,Licitación Privada,03/11/2025 11:00 Hrs.,Publicado,654
33-0055-LPR25,Servicio de limpieza integral con destino a la Agencia Territorial Santa Rosa,Licitación Privada,11/11/2025 11:00 Hrs.,Publicado,654
38/37-1408-LPR25,ADQUIRIR EQUIPOS PARA LA ADMINISTRACION DE SOLUCIONES INYECTABLES,Licitación Privada,03/11/2025 09:00 Hrs.,Publicado,997
