Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
2025-324-99-276,PA 324-2025 2do LLAMADO,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.19.7.1 - Dir. Pcial. Hospitales - Hospital Sor M. Ludovica - La Plata
2025-205-99-304,INSUMOS NEFROLOGIA ADULTOS,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.9.1.1 - Dir. Pcial. Hospitales - Hospital J.Penna Bahía Blanca
2025-117-99-323,Adquisicion frutas y verduras rechazadas solicitud n 719910,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.19.12.1 - Dir. Pcial. Hospitales - Hospital Dr. R. Gutiérrez - La Plata
2025-245-99-293,Procedimiento Abreviado N° 245/2025. Pte. Calvet Gustavo,Procedimiento Abreviado,14/10/2025 09:30 Hrs.,Publicado,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre
2025-227-99-128,Procedimiento Abreviado N° 227/2025 - Adq. Especialidades Medicinales,Procedimiento Abreviado,14/10/2025 09:30 Hrs.,Publicado,103.13.5.1 - Dir. Pcial. Hospitales - Hospital Eva Perón - San Martín
2025-205-99-309,Procedimiento abreviado 205/25,Procedimiento Abreviado,14/10/2025 09:30 Hrs.,Publicado,103.19.18.1 - Dir. Pcial. Hospitales - Hospital A. Korn M. Romero
2025-196-99-274,Procedimiento Abreviado 196/2025,Procedimiento Abreviado,14/10/2025 09:30 Hrs.,Publicado,103.14.15.1 - Dir. Pcial. Hospitales - Hospital Pte. Perón - Avellaneda
2025-175-99-331,Canulas y otros,Procedimiento Abreviado,14/10/2025 09:30 Hrs.,Publicado,105-DIRECCION DE HOSPITALES-DIRECCION PROVINCIAL DE HOSPITALES
2025-382-99-260,TESTOSTERONA 2° LLAMADO,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.8.1 - Dir. Pcial. Hospitales - Hospital Gral. San Martín - La Plata
2025-77-101-277,Servicio de Reparacion Edilicia Vereda y Rampa vacunatorio y Fonoaudiologia,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.11.1.1 - Dir. Pcial. Hospitales - Hospital Dr. A. Piñeyro - Junín
2025-34-101-350,Repuesto para mesa de anestesia Drager,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.14.12.1 - Dir. Pcial. Hospitales - Hospital Dr. I. Iriarte - Quilmes
2025-60-99-263,PROTESIS PARA EL PTE BEROISA ISMAEL - Hospital Municipal de Bahía Blanca,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,101.6.0.1 - Direccion Pcial. de Redes y Regiones - Región Sanitaria I
2025-109-99-291,PROTESIS DE TRAUMATOLOGIA PACIENTE BOJKO LEONELA,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.2.1 - Dir. Pcial. Hospitales - Hospital Dr. E. Erill - Escobar
2025-77-99-280,PROCEDIMIENTO ABREVIADO PRESUPUESTO -TERCER LLAMADO - PAP 77/2025,Licitación Privada,14/10/2025 10:00 Hrs.,Publicado,103.14.3.1 - Dir. Pcial. Hospitales - Hospital Dr. P. Fiorito - Avellaneda
2025-246-99-293,Procedimiento Abreviado N° 246/2025. Pte. Alcaraz Christian Osvaldo,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre
2025-109-147-309,PROCEDIMIENTO ABREVIADO N° 109 2025 SEGUNDO LLAMADO,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.18.1 - Dir. Pcial. Hospitales - Hospital A. Korn M. Romero
2025-69-99-338,Procedimiento Abreviado  N°69/2025 MANUALES DYR,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.2.1 - Dir. Pcial. Hospitales - Hospital Dr. H. Cestino - Ensenada
2025-176-99-334,PROC ABREV 176/2025 - S/ADQ. DE PROTESIS (VARIOS XIII),Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.1.1 - Dir. Pcial. Hospitales - Hospital Gdor. Mercante - J.C.Paz
2025-93-99-273,"PA 93/2025 ADQUISICION DE SUTURA, RECARGA DE SUTURAS, PINZA Y RETRACTOR PTE GOMEZ JORGE",Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.3.1 - Dir. Pcial. Hospitales - Hospital Gral. M. Belgrano - San Martín
2025-64-99-338,PA 64/2024 ADQUISICION DE PROTESIS PARA CIRUGIA DE LIGAMENTOS TERCER LLAMADO,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.2.1 - Dir. Pcial. Hospitales - Hospital Dr. H. Cestino - Ensenada
2025-350-99-276,PA 350-2025,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.7.1 - Dir. Pcial. Hospitales - Hospital Sor M. Ludovica - La Plata
2025-210-99-343,PA 210/25 ADQ. PROTESIS TRAUMATOLOGICAS-MIRNA CHAVEZ 2°LLAMADO,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.15.4.1 - Dir. Pcial. Hospitales - Hospital Dr. Bocalandro - Tres De Febrero
2025-140-99-275,PA 140/2025 FARMACIA - MEDICAMENTOS,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.15.6.1 - Dir. Pcial. Hospitales - Hospital M. Y L. De La Vega - Moreno
2025-280-99-301,OTROS FÁRMACOS RECHAZADOS,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.20.3.1 - Dir. Pcial. Hospitales - Hospital Simplemente Evita - Gonzalez Catán
2025-108-99-291,Medicamentos rechazados y desiertos,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.2.1 - Dir. Pcial. Hospitales - Hospital Dr. E. Erill - Escobar
2025-114-99-279,MEDICAMENTOS AMBULATORIOS,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.1.1 - Dir. Pcial. Hospitales - Hospital Dr. V. Larrain - Berisso
2025-11-2-332,LICITACION PRIVADA Nº11/2025 -ADQ. MEDICAMENTOS PSICOFARMACOS-,Licitación Privada,14/10/2025 10:00 Hrs.,Publicado,103.15.7.1 - Dir. Pcial. Hospitales - Hospital Colonia Cabred - Luján
2025-77-99-345,INSUMOS SOLUCIONES,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.20.1 - Dir. Pcial. Hospitales - Hospital Z.Videla Dorna - S. Miguel Del Monte
2025-103-99-264,GONZALEZ RENE RAUL 31034968,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,105.1.0.3 - Hospital Dr. Ramon Carrillo - San Vicente
2025-59-99-289,descartables farmacia,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.8.1 - Dir. Pcial. Hospitales - Hospital Cetrángolo - Vicente Lopez
2025-87-99-286,ADQUISICION DE PROTESIS DE TRAUMATOLOGIA- PAC.  Paganoni José Antonio - D.N.I. 12.822.483,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.12.3.1 - Dir. Pcial. Hospitales - Hospital San Felipe - San Nicolas
2025-94-99-278,Adquisición de Medicación pra Tratamiento de Toxoplasmosis,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.13.7.1 - Dir. Pcial. Hospitales - Hospital P.V De Cordero - San Fernando
2025-2-101-339,ADQUISICION DE IMPRESORAS MONITORES Y ESCANERES,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.15.3.1 - Dir. Pcial. Hospitales - Hospital Dr. L. Güemes - Haedo
2025-109-99-302,Adquisicion de Descartables,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.16.1.1 - Dir. Pcial. Hospitales - Hospital  Don Victorio Tetamanti - Mar Del Plata
2025-46-101-286,ADQUISICION DE ACLARANTE DE USO HISTOLOGICO,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.12.3.1 - Dir. Pcial. Hospitales - Hospital San Felipe - San Nicolas
2025-154-99-2842,ADQUISICION DE  PROTESIS TRAUMATOLOGICA PTE. SARZUDI MAMANI EDUARDO DEL SERVICIO DE  TRAUMATOLOGIA,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
2025-303-99-265,ADQUISICION ARTICULOS QUIROFANO,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-58-101-331,Ácido Tranexámico Inyectable y otros,Procedimiento Abreviado,14/10/2025 10:00 Hrs.,Publicado,103.19.10.1 - Dir. Pcial. Hospitales - Hospital San J. De Dios - La Plata
2025-86-99-280,PROCEDIMIENTO ABREVIADO PRESUPUESTO - SEGUNDO LLAMADO - PAP 86/2025,Licitación Privada,14/10/2025 10:30 Hrs.,Publicado,103.14.3.1 - Dir. Pcial. Hospitales - Hospital Dr. P. Fiorito - Avellaneda
2025-248-99-293,Procedimiento Abreviado N° 248/2025. Pte. Suarez Jose,Procedimiento Abreviado,14/10/2025 10:30 Hrs.,Publicado,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre
2025-88-99-286,ADQUISICION DE PROTESIS DE TRAUMATOLOGIA- PAC. . Babudro Maria L. - D.N.I. 17.399.527,Licitación Pública,14/10/2025 10:30 Hrs.,Publicado,103.12.3.1 - Dir. Pcial. Hospitales - Hospital San Felipe - San Nicolas
2025-95-99-278,Adquisicion de Descartables Desiertos y Rechazados para Farmacia,Procedimiento Abreviado,14/10/2025 10:30 Hrs.,Publicado,103.13.7.1 - Dir. Pcial. Hospitales - Hospital P.V De Cordero - San Fernando
2025-166-99-2842,ADQUISICION DE CLAVO ENDOMEDULAR ACERROJADO DE FEMUR,Procedimiento Abreviado,14/10/2025 10:30 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
2025-110-99-291,Prótesis de Traumatología Acosta María Luján,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.13.2.1 - Dir. Pcial. Hospitales - Hospital Dr. E. Erill - Escobar
2025-249-99-293,Procedimiento Abreviado N° 249/2025. Pte. Rearte Jose,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre
2025-91-99-273,PA 91/2025 ADQUISICION DE PROTESIS PACIENTE VELASQUEZ PABLO,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.13.3.1 - Dir. Pcial. Hospitales - Hospital Gral. M. Belgrano - San Martín
2025-25-99-321,PA 25-2025,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,99-MINISTERIO DE SALUD - SEDE CENTRAL - -SUBSECRETARIA DE ATENCION DE LA SALUD DE LAS PERSONAS
2025-196-99-357,PA 196-2025  734588 DESCARTABLES   EX-2025-27837192- -GDEBA-RSVIIMSALGP (DRIVE EN AMARILLO),Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,101.6.0.7 - Direccion Pcial. de Redes y Regiones - Región Sanitaria VII
2025-176-99-357,PA 176-2025 FERNADEZ JULIANA ELIZABETH 721686 EX-2025-18066788- -GDEBA-RSVIIMSALGP,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,101.6.0.7 - Direccion Pcial. de Redes y Regiones - Región Sanitaria VII
2025-104-99-264,LERNER SANDRA ADRIANA 20025911,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,105.1.0.3 - Hospital Dr. Ramon Carrillo - San Vicente
2025-66-99-345,INSUMOS LIBRERIA,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.19.20.1 - Dir. Pcial. Hospitales - Hospital Z.Videla Dorna - S. Miguel Del Monte
2025-358-99-325,alquiler de fotocopiadoras,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,101.6.0.5 - Direccion Pcial. de Redes y Regiones - Región Sanitaria V
2025-96-99-278,ADQUISICION PELICULAS DIGITALES PARA PLACAS RADIOGRAFICAS Y MAMOGRAFICAS.,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.13.7.1 - Dir. Pcial. Hospitales - Hospital P.V De Cordero - San Fernando
2025-164-99-2842,"Adquisición de Prótesis para el paciente Herrera, Brian José para el Servicio de Ortopedia y Traumat",Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
2025-11-101-339,ADQUISICIÓN DE MEMBRANA DE POLIAMIDA PARA OSMOSIS INVERSA,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.15.3.1 - Dir. Pcial. Hospitales - Hospital Dr. L. Güemes - Haedo
2025-286-99-301,ADQUISICION DE ENDOPROTESIS,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.20.3.1 - Dir. Pcial. Hospitales - Hospital Simplemente Evita - Gonzalez Catán
2025-51-99-271,Adquisicion de descartables para el servicio de laboratorio segun pliego de bases y condiciones,Procedimiento Abreviado,14/10/2025 11:00 Hrs.,Publicado,103.19.3.1 - Dir. Pcial. Hospitales - Hospital El Dique - Ensenada
2025-247-99-293,Procedimiento Abreviado N° 247/2025. Pte. Balverde Juliio Cesar,Procedimiento Abreviado,14/10/2025 11:30 Hrs.,Publicado,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre
2025-163-99-2842,Adquisicion de Insumo protesico para el Servicio de Ortopedia y Traumatologia,Procedimiento Abreviado,14/10/2025 11:30 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
2025-283-99-301,ADQUISICION DE ENDOPROTESIS,Procedimiento Abreviado,14/10/2025 11:30 Hrs.,Publicado,103.20.3.1 - Dir. Pcial. Hospitales - Hospital Simplemente Evita - Gonzalez Catán
2025-21-101-273,PROCEDIMIENTO ABREVIADO 21/2025 SAMO (REPARACION VEHICULOS OFICIALES FIAT DUCATO),Procedimiento Abreviado,14/10/2025 12:00 Hrs.,Publicado,103.13.3.1 - Dir. Pcial. Hospitales - Hospital Gral. M. Belgrano - San Martín
2025-242-99-268,CEMENTO C/ANTIBIOTICOS PARA EL SERVICIO DE ORTOPEDIA Y TRAUMATOLOGIA,Procedimiento Abreviado,14/10/2025 13:00 Hrs.,Publicado,103.19.9.1 - Dir. Pcial. Hospitales - Hospital Dr. R. Rossi - La Plata
2025-411-99-260,PA 411-25 EXPANSOR Y PROTESIS MAMARIA,Procedimiento Abreviado,14/10/2025 14:00 Hrs.,Publicado,103.19.8.1 - Dir. Pcial. Hospitales - Hospital Gral. San Martín - La Plata
2025-171-99-331,Solucion dextrosa y otros,Procedimiento Abreviado,15/10/2025 08:00 Hrs.,Publicado,105-DIRECCION DE HOSPITALES-DIRECCION PROVINCIAL DE HOSPITALES
2025-450-101-265,REPARACION DE MESA DE ANESTESIA,Procedimiento Abreviado,15/10/2025 08:00 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-342-99-276,SEGUNDO LLAMADO PROCEDIMIENTO ABREVIADO  342/25,Procedimiento Abreviado,15/10/2025 09:00 Hrs.,Publicado,103.19.7.1 - Dir. Pcial. Hospitales - Hospital Sor M. Ludovica - La Plata
2025-419-99-260,PUESTA EN VALOR SALUD MENTAL,Procedimiento Abreviado,15/10/2025 09:00 Hrs.,Publicado,103.19.8.1 - Dir. Pcial. Hospitales - Hospital Gral. San Martín - La Plata
2025-182-99-334,PROCEDIMIENTO ABREVIADO 182/2025 - S/ADQ. DE PROTESIS DE RODILLA (VARIOS PACIENTES),Procedimiento Abreviado,15/10/2025 09:00 Hrs.,Publicado,103.13.1.1 - Dir. Pcial. Hospitales - Hospital Gdor. Mercante - J.C.Paz
2025-5-102-333,PA 5/2025 - SUMAR - ADQ INSTALACION PUESTOS DE RED - INFORMATICA,Procedimiento Abreviado,15/10/2025 09:00 Hrs.,Publicado,103.12.2.1 - Dir. Pcial. Hospitales - Hospital San José - Pergamino
2025-458-134-265,ADQUISICION LIBRERÍA 2DO SEMESTRE 2025,Procedimiento Abreviado,15/10/2025 09:00 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-45-101-342,ADQUISICION DE SILLAS,Procedimiento Abreviado,15/10/2025 09:00 Hrs.,Publicado,103.19.4.1 - Dir. Pcial. Hospitales - Hospital San Roque -  Manuel B. Gonnet
2025-425-101-265,ADQUISICION DE CARBON ACTIVADO PARA MARCACIONES MAMOGRAFICAS,Procedimiento Abreviado,15/10/2025 09:30 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-60-101-331,REPARACION POLIGRAFO,Licitación Pública,15/10/2025 10:00 Hrs.,Publicado,103.19.10.1 - Dir. Pcial. Hospitales - Hospital San J. De Dios - La Plata
2025-36-151-279,Procedimiento Abreviado PA SAMO-APOYO FINANCIERO N° 36/20245,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.19.1.1 - Dir. Pcial. Hospitales - Hospital Dr. V. Larrain - Berisso
2025-44-99-303,PA 44/2025,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,101.6.0.11 - Direccion Pcial. de Redes y Regiones - Región Sanitaria XI
2025-33-2-296,MANTENIMIENTO EDILICIO - SEGUNDO LLAMADO,Licitación Privada,15/10/2025 10:00 Hrs.,Publicado,103.18.2.1 - Dir. Pcial. Hospitales - Hospital Blas Dubarry - Mercedes
2025-354-99-276,Malla de titanio y otros,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.19.7.1 - Dir. Pcial. Hospitales - Hospital Sor M. Ludovica - La Plata
2025-110-2-260,LP 110-25 CONTRASTE PARA TAC Y OTROS,Licitación Privada,15/10/2025 10:00 Hrs.,Publicado,103.19.8.1 - Dir. Pcial. Hospitales - Hospital Gral. San Martín - La Plata
2025-76-99-317,Llamado a licitacion P.A. Nº 76-2025 Insumos Protésicos,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,101.6.0.9 - Direccion Pcial. de Redes y Regiones - Región Sanitaria IX
2025-75-99-317,Llamado a licitacion P.A. Nº 75-2025 Insumos Protésicos,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,101.6.0.9 - Direccion Pcial. de Redes y Regiones - Región Sanitaria IX
2025-22-101-289,kit de accesorios para mesa de cirugia,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.13.8.1 - Dir. Pcial. Hospitales - Hospital Cetrángolo - Vicente Lopez
2025-71-101-302,Intalacion de Poliductos,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.16.1.1 - Dir. Pcial. Hospitales - Hospital  Don Victorio Tetamanti - Mar Del Plata
2025-390-99-268,insumos de alimentacion,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.19.9.1 - Dir. Pcial. Hospitales - Hospital Dr. R. Rossi - La Plata
2025-65-99-263,CASALLA JACK ELIBERTO - HMBB.,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,101.6.0.1 - Direccion Pcial. de Redes y Regiones - Región Sanitaria I
2025-76-99-345,ADQUSICIÓN INSTRUMENTAL P/QUIRÓFANO,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.19.20.1 - Dir. Pcial. Hospitales - Hospital Z.Videla Dorna - S. Miguel Del Monte
2025-187-99-300,Adqusicion de productos de limpieza,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.14.1.1 - Dir. Pcial. Hospitales - Hospital  Dr. L. Melendez - Adrogué
2025-133-99-358,Adquisicion de Toallas Descartables,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.15.2.1 - Dir. Pcial. Hospitales - Hospital  V. Lopez Y Planes - Gral Rodríguez
2025-150-99-1901,ADQUISICION DE PROTESIS PTE BASSANO HUGO,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.14.10.1 - Dir. Pcial. Hospitales - Hospital Eurnekian - Ezeiza
2025-185-99-300,adquisición de prótesis para traumatología,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.14.1.1 - Dir. Pcial. Hospitales - Hospital  Dr. L. Melendez - Adrogué
2025-49-99-310,Adquisición de herramientas de mano,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,96-MINISTERIO DE SALUD - SEDE CENTRAL - -DIRECCION PROVINCIAL INSTITUTO BIOLOGICO DR. TOMAS PERON
99-0126-CME25,"ADQUISICION DE DARATUMUMAB 400 MG - 1 frasco por 20 ML, PARA EL PACIENTE SOTELO NESTOR MIGUEL",Contratación  Menor,15/10/2025 10:00 Hrs.,Publicado,99-MINISTERIO DE SALUD - SEDE CENTRAL - -SUBSECRETARIA DE ATENCION DE LA SALUD DE LAS PERSONAS
2025-55-101-278,Adquisición de Calzado de Seguridad para Personal de Mantenimiento y Camillería,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.13.7.1 - Dir. Pcial. Hospitales - Hospital P.V De Cordero - San Fernando
2025-166-99-1901,ADQUISICION DE AGUA BIDESTILADA,Procedimiento Abreviado,15/10/2025 10:00 Hrs.,Publicado,103.14.10.1 - Dir. Pcial. Hospitales - Hospital Eurnekian - Ezeiza
2025-42-2-262,ADQ ANFOTERICINA - 2 SEMESTRE 2025,Licitación Privada,15/10/2025 10:00 Hrs.,Publicado,103.16.2.1 - Dir. Pcial. Hospitales - Hospital Dr. Alende - Mar Del Plata
2025-61-101-331,Reparación del Angiografo,Procedimiento Abreviado,15/10/2025 10:30 Hrs.,Publicado,105-DIRECCION DE HOSPITALES-DIRECCION PROVINCIAL DE HOSPITALES
2025-67-99-263,PA 67/2025 - LUQUEZ JOHANNA - SET DE PLACAS DCS COMPLETO,Procedimiento Abreviado,15/10/2025 10:30 Hrs.,Publicado,101.6.0.1 - Direccion Pcial. de Redes y Regiones - Región Sanitaria I
2025-17-143-359,Adquisicion de descartables solicitados por el servicio de guardia - UPA 10,Procedimiento Abreviado,15/10/2025 10:30 Hrs.,Publicado,103.14.5.1 - Dir. Pcial. Hospitales - Hospital Evita Pueblo - Berazategui
518-0116-CME25,Tableros eléctricos para Dique,Contratación  Menor,15/10/2025 11:00 Hrs.,Publicado,518 - GERENCIA TECNICA Y PRODUCCION
382-0704-LPU25,SERVICIO DE RENOVACIÓN DE LICENCIAS GLOBAL PROTEC GATEWAY PARA FIREWALL PALO ALTO 5220,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,382-AGENCIA DE RECAUDACIÓN DE LA PROVINCIA DE BUENOS AIRES (ARBA)-SUBDIRECCIÓN EJECUTIVA DE ADMINISTRACIÓN Y TECNOLOGÍA
170-0891-LPU25,RENOVACIÓN Y PROVISIÓN DE LICENCIAS DE SOFTWARE PARA ANÁLISIS FORENSE,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,170-MINISTERIO DE SEGURIDAD-MINISTERIO DE SEGURIDAD
2025-22-101-273,PROCEDIMIENTO ABREVIADO 22/2025 SAMO (REPARACION LAMPARAS SCIALITICAS),Procedimiento Abreviado,15/10/2025 11:00 Hrs.,Publicado,103.13.3.1 - Dir. Pcial. Hospitales - Hospital Gral. M. Belgrano - San Martín
2025-390-101-260,PA 390-25 (2DO LLAMADO) SILLONES ODONTOLOGICOS,Procedimiento Abreviado,15/10/2025 11:00 Hrs.,Publicado,103.19.8.1 - Dir. Pcial. Hospitales - Hospital Gral. San Martín - La Plata
2025-217-99-357,PA 217-2025- INSULINAS EX-2025-35107389- -GDEBA-RSVIIMSALGP SOLICITUD 741326,Procedimiento Abreviado,15/10/2025 11:00 Hrs.,Publicado,101.6.0.7 - Direccion Pcial. de Redes y Regiones - Región Sanitaria VII
2025-207-99-357,PA 207-2025 CARDOZO JORGE EMANUEL 715710 EX-2025-14134887- -GDEBA-RSVIIMSALGP,Procedimiento Abreviado,15/10/2025 11:00 Hrs.,Publicado,101.6.0.7 - Direccion Pcial. de Redes y Regiones - Región Sanitaria VII
2025-314-99-325,ALQUILER DE EQUIPOS DE OXIGENOTERAPIA DOMICILIARIA,Procedimiento Abreviado,15/10/2025 11:00 Hrs.,Publicado,101.6.0.5 - Direccion Pcial. de Redes y Regiones - Región Sanitaria V
2025-338-99-325,ALQUILER DE EQUIPOS DE OXIGENOTERAPIA DOMICILIARIA,Procedimiento Abreviado,15/10/2025 11:00 Hrs.,Publicado,101.6.0.5 - Direccion Pcial. de Redes y Regiones - Región Sanitaria V
